from_cat,Glass,Paper,Tool
Glass,0.9139784946236559,0.08243727598566308,0.0035842293906810036
Paper,0.7857142857142857,0.0,0.21428571428571427
Tool,0.14285714285714285,0.8571428571428571,0.0
